iter	Passed	Remaining
0	0	47
1	0	40
2	1	36
3	1	32
4	1	31
5	1	31
6	2	31
7	2	30
8	2	29
9	3	28
10	3	28
11	3	27
12	4	26
13	4	26
14	4	25
15	4	25
16	5	24
17	5	24
18	5	24
19	5	23
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	21
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	19
36	11	20
37	12	19
38	12	19
39	12	19
40	13	19
41	13	19
42	14	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	13
57	18	13
58	19	13
59	19	12
60	19	12
61	20	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	22	9
69	22	9
70	22	9
71	23	8
72	23	8
73	23	8
74	23	7
75	24	7
76	24	7
77	24	6
78	25	6
79	25	6
80	25	6
81	25	5
82	26	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	28	2
92	29	2
93	29	1
94	29	1
95	30	1
96	30	0
97	30	0
98	31	0
99	31	0
